t=2022-11-29T19:03:59+0000 lvl=info msg="starting web service" obj=web addr=0.0.0.0:4040
t=2022-11-29T19:04:00+0000 lvl=info msg="tunnel session started" obj=tunnels.session
t=2022-11-29T19:04:00+0000 lvl=info msg="client session established" obj=csess id=07c1d439cd00
t=2022-11-29T19:04:01+0000 lvl=info msg="started tunnel" obj=tunnels name="command_line (http)" addr=http://backend:5111 url=http://f2d3-62-16-0-35.ngrok.io
t=2022-11-29T19:04:01+0000 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://backend:5111 url=https://f2d3-62-16-0-35.ngrok.io
t=2022-11-29T19:04:07+0000 lvl=info msg="join connections" obj=join id=655e80a643fe l=172.24.0.3:5111 r=52.0.253.160:63720
t=2022-11-29T19:04:11+0000 lvl=info msg="join connections" obj=join id=1108212f6880 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:04:12+0000 lvl=info msg="join connections" obj=join id=1aa09bf4798e l=172.24.0.3:5111 r=34.196.237.253:59976
t=2022-11-29T19:04:13+0000 lvl=info msg="join connections" obj=join id=1f17aaedc42e l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:04:14+0000 lvl=info msg="join connections" obj=join id=7e86f94ce631 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:04:15+0000 lvl=info msg="join connections" obj=join id=0e67742d9996 l=172.24.0.3:5111 r=34.196.237.253:59976
t=2022-11-29T19:04:15+0000 lvl=info msg="join connections" obj=join id=73f3f87696e5 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:04:16+0000 lvl=info msg="join connections" obj=join id=098f298475ba l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:04:17+0000 lvl=info msg="join connections" obj=join id=ccbb5bdda0fc l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:04:18+0000 lvl=info msg="join connections" obj=join id=8e7e41c68962 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:04:19+0000 lvl=info msg="join connections" obj=join id=a3b2b9fe8173 l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:04:20+0000 lvl=info msg="join connections" obj=join id=018357e6864f l=172.24.0.3:5111 r=34.196.237.253:65451
t=2022-11-29T19:04:22+0000 lvl=info msg="join connections" obj=join id=d135820621a7 l=172.24.0.3:5111 r=34.196.237.253:65451
